row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
141447,2017,041,Douglas,MEDICARE,4,65 - 74 years,M,476,Emergency department,"3,440",911,"5,551","$214,586.32",$235.55,$191.25,"$196,316.09",$215.50,$172.15,"$18,270.23",$20.06,$0.00
142527,2017,047,Freeborn,MEDICARE,3,45 - 64 years,F,179,Emergency department,"2,244",471,"2,112","$120,393.27",$255.61,$175.13,"$101,798.57",$216.13,$137.98,"$18,594.70",$39.48,$31.84
143391,2017,053,Hennepin,COMMERCIAL,1,18 years and under,M,67,Outpatient Other,865,817,720,"$291,498.30",$356.79,$209.25,"$251,787.75",$308.19,$181.35,"$39,710.55",$48.61,$0.00
144327,2017,057,Hubbard,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,50,DME (Durable Medical Equipment),345,186,583,"$42,874.45",$230.51,$32.00,"$42,852.75",$230.39,$32.00,$21.70,$0.12,$0.00
145047,2017,061,Itasca,COMMERCIAL,5,75 years and older,M,17,Ambulance,59,27,188,"$6,795.81",$251.70,$132.59,"$6,413.12",$237.52,$132.59,$382.69,$14.17,$0.00
145863,2017,065,Kanabec,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,11,Inpatient Non-acute,482,193,111,"$100,760.04",$522.07,$51.52,"$100,760.04",$522.07,$51.52,$0.00,$0.00,$0.00
147039,2017,071,Koochiching,MEDICARE,4,65 - 74 years,F,24,Inpatient Non-acute Professional Services,199,140,276,"$26,439.98",$188.86,$71.36,"$25,484.61",$182.03,$64.94,$955.37,$6.82,$0.00
148071,2017,079,Le Sueur,COMMERCIAL,3,45 - 64 years,M,709,Clinic/Office,"11,418","4,227","8,115","$1,548,619.02",$366.36,$193.00,"$1,110,001.53",$262.60,$124.72,"$438,617.49",$103.77,$20.00
149319,2017,085,McLeod,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,13,Ambulance,295,129,149,"$7,604.21",$58.95,$43.75,"$7,604.21",$58.95,$43.75,$0.00,$0.00,$0.00
150351,2017,091,Martin,MEDICARE,3,45 - 64 years,F,388,Clinic/Office,"10,363","4,311","4,479","$512,891.79",$118.97,$90.97,"$417,343.95",$96.81,$71.44,"$95,547.84",$22.16,$15.77
151215,2017,097,Morrison,COMMERCIAL,1,18 years and under,M,43,Hospital Inpatient,387,50,333,"$601,796.29","$12,035.93","$3,153.99","$569,326.58","$11,386.53","$2,630.93","$32,469.71",$649.39,$0.00
151983,2017,101,Murray,COMMERCIAL,1,18 years and under,F,14,Emergency department,36,16,165,"$7,342.72",$458.92,$452.97,"$1,179.05",$73.69,$0.00,"$6,163.67",$385.23,$396.38
152943,2017,105,Nobles,MEDICARE,2,19 - 44 years,F,32,Hospital Outpatient,"2,307",389,373,"$198,683.22",$510.75,$168.19,"$159,836.27",$410.89,$133.08,"$38,846.95",$99.86,$31.47
153759,2017,109,Olmsted,MEDICARE,4,65 - 74 years,M,"2,205",Other,"21,007","10,657","26,348","$1,190,673.88",$111.73,$73.44,"$1,082,521.14",$101.58,$68.48,"$108,152.74",$10.15,$0.00
154695,2017,115,Pine,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,23,Outpatient Other,191,155,244,"$32,777.27",$211.47,$105.09,"$32,777.27",$211.47,$105.09,$0.00,$0.00,$0.00
155655,2017,121,Pope,COMMERCIAL,2,19 - 44 years,F,32,Hospital Inpatient Professional Services,191,77,345,"$127,127.32","$1,651.00",$659.42,"$102,730.80","$1,334.17",$475.19,"$24,396.52",$316.84,$0.00
133791,2017,001,Aitkin,MEDICARE,5,75 years and older,M,374,Emergency department,"2,870",756,"4,234","$214,126.98",$283.24,$173.47,"$195,621.34",$258.76,$139.97,"$18,505.64",$24.48,$0.00
134439,2017,005,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,387,Other,"24,600","17,835","4,113","$5,847,272.23",$327.85,$151.55,"$5,846,257.23",$327.80,$151.55,"$1,015.00",$0.06,$0.00
135063,2017,009,Benton,COMMERCIAL,2,19 - 44 years,F,101,Ambulatory Surgery,611,117,"1,124","$569,717.91","$4,869.38","$3,773.07","$498,734.49","$4,262.69","$2,783.70","$70,983.42",$606.70,$127.79
136071,2017,013,Blue Earth,MEDICARE,3,45 - 64 years,M,119,Ambulatory Surgery,954,198,"1,357","$179,643.27",$907.29,$636.42,"$153,797.29",$776.75,$518.01,"$25,845.98",$130.54,$82.93
136839,2017,017,Carlton,MEDICARE,3,45 - 64 years,F,201,Independent Lab,"1,183",439,"2,383","$30,944.50",$70.49,$37.70,"$30,802.05",$70.16,$35.66,$142.45,$0.32,$0.00
137511,2017,021,Cass,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,698,Other,"29,889","23,847","7,855","$6,025,138.29",$252.66,$104.40,"$6,024,072.19",$252.61,$104.40,"$1,066.10",$0.04,$0.00
138375,2017,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,26,Other,"2,214","1,463",281,"$317,375.43",$216.93,$92.58,"$314,814.23",$215.18,$92.58,"$2,561.20",$1.75,$0.00
139095,2017,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,25,Ambulance,915,262,263,"$33,222.52",$126.80,$127.24,"$33,222.52",$126.80,$127.24,$0.00,$0.00,$0.00
140079,2017,035,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,168,Ambulance,"4,429","1,658","1,828","$166,339.56",$100.33,$47.56,"$166,308.56",$100.31,$47.56,$31.00,$0.02,$0.00
140655,2017,037,Dakota,MEDICARE,4,65 - 74 years,F,"1,972",Ambulatory Surgery,"13,555","2,788","23,586","$4,281,630.67","$1,535.74","$1,056.71","$3,969,343.66","$1,423.72",$969.00,"$312,287.01",$112.01,$46.45
141471,2017,041,Douglas,MEDICARE,5,75 years and older,F,"1,430",Other,"17,820","12,239","16,727","$2,425,457.21",$198.17,$40.50,"$2,178,992.84",$178.04,$36.88,"$246,464.37",$20.14,$0.00
142551,2017,047,Freeborn,MEDICARE,3,45 - 64 years,M,207,Other,"2,107",811,"2,417","$378,402.49",$466.59,$74.89,"$306,241.17",$377.61,$65.16,"$72,161.32",$88.98,$8.21
143439,2017,053,Hennepin,COMMERCIAL,3,45 - 64 years,F,168,Outpatient Other,"9,266","4,746","1,926","$1,667,072.98",$351.26,$166.08,"$1,586,120.87",$334.20,$153.00,"$80,952.11",$17.06,$0.00
144447,2017,057,Hubbard,MEDICARE,3,45 - 64 years,F,54,Independent Lab,506,109,636,"$11,358.10",$104.20,$46.78,"$11,103.46",$101.87,$43.97,$254.64,$2.34,$0.00
145071,2017,061,Itasca,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,13,Inpatient Non-acute Professional Services,71,35,149,"$4,177.17",$119.35,$62.04,"$4,177.17",$119.35,$62.04,$0.00,$0.00,$0.00
145959,2017,065,Kanabec,MEDICARE,3,45 - 64 years,M,105,Emergency department,"1,165",281,"1,250","$65,685.66",$233.76,$112.20,"$53,231.75",$189.44,$77.18,"$12,453.91",$44.32,$6.84
147063,2017,071,Koochiching,MEDICARE,5,75 years and older,F,16,Hospice,729,33,107,"$98,371.23","$2,980.95","$3,049.53","$98,371.23","$2,980.95","$3,049.53",$0.00,$0.00,$0.00
148143,2017,079,Le Sueur,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,41,Independent Lab,195,86,472,"$10,778.81",$125.34,$154.89,"$10,778.81",$125.34,$154.89,$0.00,$0.00,$0.00
149367,2017,085,McLeod,MEDICARE,3,45 - 64 years,F,75,Hospital Inpatient,"2,026",137,889,"$1,419,897.02","$10,364.21","$10,211.93","$1,306,726.01","$9,538.15","$9,262.57","$113,171.01",$826.07,"$1,316.00"
150375,2017,091,Martin,MEDICARE,3,45 - 64 years,M,13,Inpatient Non-acute Professional Services,120,84,156,"$6,670.27",$79.41,$87.82,"$5,496.71",$65.44,$69.38,"$1,173.56",$13.97,$17.88
151239,2017,097,Morrison,COMMERCIAL,2,19 - 44 years,M,16,Hospital Inpatient,209,28,175,"$477,528.10","$17,054.58","$10,502.21","$463,516.41","$16,554.16","$10,224.36","$14,011.69",$500.42,$0.00
152007,2017,101,Murray,COMMERCIAL,2,19 - 44 years,F,19,Hospital Inpatient,204,20,227,"$312,544.61","$15,627.23","$7,583.97","$283,539.28","$14,176.96","$6,136.92","$29,005.33","$1,450.27",$849.73
152967,2017,105,Nobles,MEDICARE,3,45 - 64 years,F,240,Hospital Outpatient,"11,946","1,980","2,708","$897,543.89",$453.30,$168.23,"$710,173.28",$358.67,$130.84,"$187,370.61",$94.63,$31.59
153783,2017,109,Olmsted,MEDICARE,5,75 years and older,M,915,Hospital Inpatient,"23,253","1,654","10,168","$26,929,121.43","$16,281.21","$13,807.32","$25,606,457.95","$15,481.53","$12,724.74","$1,322,663.48",$799.68,"$1,316.00"
154719,2017,115,Pine,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,140,Independent Lab,"1,100",520,"1,499","$63,274.92",$121.68,$101.13,"$63,222.72",$121.58,$100.48,$52.20,$0.10,$0.00
155679,2017,121,Pope,COMMERCIAL,3,45 - 64 years,F,43,Independent Lab,215,77,495,"$28,696.29",$372.68,$90.10,"$22,810.09",$296.23,$46.31,"$5,886.20",$76.44,$10.84
156519,2017,125,Red Lake,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,34,Other,"1,313",819,364,"$152,459.94",$186.15,$117.39,"$152,459.94",$186.15,$117.39,$0.00,$0.00,$0.00
157479,2017,131,Rice,COMMERCIAL,2,19 - 44 years,M,521,Hospital Outpatient,"5,396","1,316","5,915","$1,856,696.28","$1,410.86",$322.25,"$1,485,726.10","$1,128.97",$201.76,"$370,970.18",$281.89,$0.00
158367,2017,135,Roseau,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,14,Other,287,253,151,"$14,660.89",$57.95,$36.39,"$14,614.39",$57.76,$36.39,$46.50,$0.18,$0.00
159087,2017,139,Scott,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,"2,611",Other,"109,837","64,515","28,536","$11,858,340.02",$183.81,$82.15,"$11,856,998.03",$183.79,$82.15,"$1,341.99",$0.02,$0.00
159831,2017,143,Sibley,COMMERCIAL,3,45 - 64 years,M,108,Other,517,233,"1,266","$66,624.46",$285.94,$172.82,"$50,487.75",$216.69,$62.00,"$16,136.71",$69.26,$0.00
160695,2017,147,Steele,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,431,Independent Lab,"1,789",731,"4,641","$76,774.91",$105.03,$60.28,"$76,747.51",$104.99,$60.28,$27.40,$0.04,$0.00
161631,2017,153,Todd,COMMERCIAL,2,19 - 44 years,F,75,Independent Lab,348,101,861,"$30,452.43",$301.51,$130.02,"$22,813.59",$225.88,$47.23,"$7,638.84",$75.63,$5.46
162663,2017,159,Wadena,COMMERCIAL,3,45 - 64 years,F,17,Ambulatory Surgery,94,20,203,"$108,534.00","$5,426.70","$4,294.04","$88,421.62","$4,421.08","$3,431.47","$20,112.38","$1,005.62",$0.00
163431,2017,163,Washington,COMMERCIAL,3,45 - 64 years,M,33,Inpatient Non-acute Professional Services,324,232,382,"$57,287.77",$246.93,$227.07,"$52,721.59",$227.25,$226.80,"$4,566.18",$19.68,$0.00
164463,2017,169,Winona,COMMERCIAL,2,19 - 44 years,M,31,DME (Durable Medical Equipment),189,116,369,"$15,923.76",$137.27,$72.95,"$12,543.96",$108.14,$58.36,"$3,379.80",$29.14,$0.00
165135,2017,171,Wright,MEDICARE,2,19 - 44 years,F,70,Independent Lab,730,258,834,"$25,723.84",$99.70,$78.21,"$25,502.00",$98.84,$78.21,$221.84,$0.86,$0.00
134032,2017,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,219,Inpatient Non-acute Professional Services,"4,579","4,059","2,483","$1,253,951.38",$308.93,$323.93,"$1,253,796.38",$308.89,$323.93,$155.00,$0.04,$0.00
134824,2017,007,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,328,Independent Lab,"2,494","1,252","3,529","$200,649.94",$160.26,$160.85,"$200,637.54",$160.25,$160.85,$12.40,$0.01,$0.00
135736,2017,011,Big Stone,MEDICARE,5,75 years and older,M,16,Hospice,478,34,109,"$109,562.88","$3,222.44","$3,611.89","$109,562.88","$3,222.44","$3,611.89",$0.00,$0.00,$0.00
136480,2017,015,Brown,MEDICARE,4,65 - 74 years,M,182,DME (Durable Medical Equipment),"1,420",937,"2,157","$56,422.19",$60.22,$35.54,"$48,732.65",$52.01,$32.75,"$7,689.54",$8.21,$3.33
137224,2017,019,Carver,MEDICARE,2,19 - 44 years,F,118,Hospital Outpatient,"6,173",988,"1,393","$379,560.76",$384.17,$168.90,"$301,782.57",$305.45,$130.37,"$77,778.19",$78.72,$32.22
138112,2017,025,Chisago,COMMERCIAL,1,18 years and under,M,816,Hospital Outpatient,"7,705","2,288","9,328","$1,869,094.37",$816.91,$257.95,"$1,582,464.40",$691.64,$199.12,"$286,629.97",$125.28,$0.00
138880,2017,027,Clay,MEDICARE,5,75 years and older,M,283,Ambulance,"1,139",493,"2,971","$197,936.94",$401.49,$426.98,"$168,151.13",$341.08,$361.38,"$29,785.81",$60.42,$25.00
139960,2017,035,Crow Wing,COMMERCIAL,4,65 - 74 years,F,11,Independent Lab,65,17,132,"$1,487.16",$87.48,$21.44,$375.21,$22.07,$1.81,"$1,111.95",$65.41,$0.00
140632,2017,037,Dakota,MEDICARE,3,45 - 64 years,F,"3,800",Hospital Outpatient,"122,883","21,007","44,450","$10,270,271.37",$488.90,$138.55,"$8,491,474.16",$404.22,$120.72,"$1,778,797.21",$84.68,$18.48
141472,2017,041,Douglas,MEDICARE,5,75 years and older,F,131,Outpatient Other,"6,468","1,000","1,552","$245,496.99",$245.50,$20.12,"$187,932.52",$187.93,$19.37,"$57,564.47",$57.56,$0.00
142432,2017,047,Freeborn,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,15,Independent Lab,79,23,148,"$2,717.41",$118.15,$71.68,"$2,717.41",$118.15,$71.68,$0.00,$0.00,$0.00
143344,2017,051,Grant,MEDICARE,5,75 years and older,F,197,Other,"3,063","2,108","2,326","$295,388.66",$140.13,$18.44,"$272,974.70",$129.49,$18.44,"$22,413.96",$10.63,$0.00
144112,2017,055,Houston,MEDICARE,4,65 - 74 years,M,84,Hospital Inpatient,"2,305",146,990,"$1,567,224.13","$10,734.41","$10,207.13","$1,464,149.59","$10,028.42","$9,343.86","$103,074.54",$705.99,"$1,316.00"
144952,2017,061,Itasca,COMMERCIAL,2,19 - 44 years,F,961,Clinic/Office,"15,168","6,870","10,677","$1,383,406.40",$201.37,$112.24,"$1,080,230.85",$157.24,$78.69,"$303,175.55",$44.13,$10.00
146008,2017,065,Kanabec,MEDICARE,5,75 years and older,F,148,Hospital Inpatient Professional Services,"2,113",777,"1,679","$228,637.82",$294.26,$172.53,"$207,904.61",$267.57,$154.89,"$20,733.21",$26.68,$0.00
146920,2017,071,Koochiching,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,20,Outpatient Other,485,404,214,"$46,736.43",$115.68,$105.09,"$46,736.43",$115.68,$105.09,$0.00,$0.00,$0.00
147976,2017,077,Lake of the Woods,MEDICARE,5,75 years and older,F,11,Ambulance,68,29,127,"$45,293.90","$1,561.86",$328.00,"$40,885.31","$1,409.84",$328.00,"$4,408.59",$152.02,$0.00
148960,2017,083,Lyon,MEDICARE,2,19 - 44 years,M,75,Clinic/Office,"3,462",942,879,"$107,165.58",$113.76,$73.06,"$84,202.14",$89.39,$57.12,"$22,963.44",$24.38,$14.57
150040,2017,089,Marshall,MEDICARE,5,75 years and older,F,13,Ambulatory Surgery,73,20,156,"$32,885.01","$1,644.25","$1,565.51","$29,088.29","$1,454.41","$1,346.74","$3,796.72",$189.84,$191.87
150952,2017,095,Mille Lacs,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,838,Emergency department,"3,784","1,703","9,271","$450,490.80",$264.53,$232.27,"$450,490.80",$264.53,$232.27,$0.00,$0.00,$0.00
151648,2017,099,Mower,COMMERCIAL,3,45 - 64 years,M,216,Emergency department,972,307,"2,496","$518,338.84","$1,688.40","$1,642.55","$356,658.69","$1,161.75",$993.25,"$161,680.15",$526.65,$186.37
152440,2017,103,Nicollet,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,333,Emergency department,"1,301",512,"3,577","$168,936.44",$329.95,$282.36,"$168,936.44",$329.95,$282.36,$0.00,$0.00,$0.00
153376,2017,109,Olmsted,COMMERCIAL,1,18 years and under,F,11,Inpatient Non-acute,212,181,125,"$567,513.11","$3,135.43","$1,300.00","$550,175.92","$3,039.65","$1,300.00","$17,337.19",$95.79,$0.00
154144,2017,111,Otter Tail,MEDICARE,4,65 - 74 years,F,81,Inpatient Non-acute,"1,841",322,946,"$852,983.69","$2,649.02",$263.00,"$784,339.45","$2,435.84",$234.76,"$68,644.24",$213.18,$0.00
155080,2017,117,Pipestone,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,31,Independent Lab,218,73,350,"$13,291.52",$182.08,$52.55,"$13,291.52",$182.08,$52.55,$0.00,$0.00,$0.00
133578,2017,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,672,Clinic/Office,"10,938","7,534","7,256","$570,464.87",$75.72,$15.91,"$560,962.48",$74.46,$15.91,"$9,502.39",$1.26,$0.00
134298,2017,005,Becker,COMMERCIAL,2,19 - 44 years,M,22,Hospital Inpatient,247,29,241,"$654,147.98","$22,556.83","$13,133.30","$629,834.51","$21,718.43","$13,110.29","$24,313.47",$838.40,$0.00
135018,2017,007,Beltrami,MEDICARE,5,75 years and older,F,185,Inpatient Non-acute,"4,851","1,020","2,060","$1,649,455.30","$1,617.11",$90.95,"$1,430,032.53","$1,401.99",$90.95,"$219,422.77",$215.12,$0.00
135882,2017,013,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,706,Emergency department,"3,154","1,204","7,634","$434,071.28",$360.52,$301.93,"$432,346.22",$359.09,$301.93,"$1,725.06",$1.43,$0.00
136626,2017,017,Carlton,COMMERCIAL,4,65 - 74 years,M,66,Hospital Outpatient,"2,675",538,769,"$415,337.98",$772.00,$148.84,"$397,348.52",$738.57,$127.77,"$17,989.46",$33.44,$0.00
137346,2017,021,Cass,COMMERCIAL,1,18 years and under,F,86,Other,785,371,986,"$77,651.49",$209.30,$96.39,"$64,942.18",$175.05,$5.70,"$12,709.31",$34.26,$0.00
138234,2017,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,"2,082",Clinic/Office,"28,647","14,246","22,758","$1,459,659.96",$102.46,$89.65,"$1,453,894.67",$102.06,$89.65,"$5,765.29",$0.40,$0.00
139266,2017,031,Cook,COMMERCIAL,3,45 - 64 years,F,112,Hospital Outpatient,"1,713",468,"1,294","$326,631.96",$697.93,$253.39,"$243,049.13",$519.34,$154.50,"$83,582.83",$178.60,$16.25
140226,2017,035,Crow Wing,MEDICARE,4,65 - 74 years,F,"2,014",Other,"21,783","14,468","24,046","$1,860,675.70",$128.61,$76.11,"$1,782,945.47",$123.23,$76.11,"$77,730.23",$5.37,$0.00
140922,2017,039,Dodge,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,148,Hospital Outpatient,"3,998",908,"1,597","$382,782.59",$421.57,$123.66,"$381,577.35",$420.24,$122.30,"$1,205.24",$1.33,$0.00
141858,2017,045,Fillmore,COMMERCIAL,1,18 years and under,M,768,Clinic/Office,"7,521","3,253","8,857","$1,119,542.15",$344.16,$219.85,"$925,759.08",$284.59,$172.19,"$193,783.07",$59.57,$0.00
142770,2017,049,Goodhue,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,75,Hospital Inpatient,670,88,692,"$740,566.42","$8,415.53","$4,965.49","$740,566.42","$8,415.53","$4,965.49",$0.00,$0.00,$0.00
143466,2017,053,Hennepin,COMMERCIAL,4,65 - 74 years,F,"1,768",Hospital Outpatient,"30,740","6,458","20,926","$5,836,809.71",$903.81,$240.80,"$5,453,366.36",$844.44,$196.51,"$383,443.35",$59.37,$0.00
144162,2017,057,Hubbard,COMMERCIAL,1,18 years and under,M,25,Emergency department,77,27,281,"$21,218.36",$785.87,$719.69,"$11,867.90",$439.55,$292.71,"$9,350.46",$346.31,$150.00
144930,2017,061,Itasca,COMMERCIAL,1,18 years and under,F,21,Hospital Inpatient Professional Services,102,93,176,"$25,600.41",$275.27,$189.21,"$22,346.16",$240.28,$180.31,"$3,254.25",$34.99,$0.00
145650,2017,063,Jackson,MEDICARE,5,75 years and older,F,111,Inpatient Non-acute,"2,589",443,"1,258","$1,235,778.44","$2,789.57",$85.02,"$1,076,324.23","$2,429.63",$84.80,"$159,454.21",$359.94,$0.00
134011,2017,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,786,Hospital Inpatient,"11,257","1,216","8,057","$16,999,301.54","$13,979.69","$4,948.52","$16,991,441.44","$13,973.22","$4,916.29","$7,860.10",$6.46,$0.00
134635,2017,005,Becker,MEDICARE,5,75 years and older,M,500,Emergency department,"3,564",987,"5,729","$226,638.57",$229.62,$179.83,"$203,852.02",$206.54,$161.15,"$22,786.55",$23.09,$0.00
135571,2017,011,Big Stone,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,13,Home Health,630,617,155,"$46,210.94",$74.90,$75.02,"$46,198.54",$74.88,$75.02,$12.40,$0.02,$0.00
136363,2017,015,Brown,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,43,Other,"2,908","2,271",497,"$588,753.67",$259.25,$129.08,"$588,666.87",$259.21,$129.08,$86.80,$0.04,$0.00
137155,2017,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,50,Outpatient Other,"1,742","1,262",537,"$254,375.11",$201.57,$135.80,"$254,223.71",$201.45,$135.80,$151.40,$0.12,$0.00
138139,2017,025,Chisago,COMMERCIAL,2,19 - 44 years,M,66,Hospital Inpatient Professional Services,598,329,737,"$176,220.17",$535.62,$253.65,"$148,112.36",$450.19,$158.45,"$28,107.81",$85.43,$0.00
139147,2017,029,Clearwater,MEDICARE,3,45 - 64 years,F,138,Clinic/Office,"2,122","1,011","1,558","$133,840.24",$132.38,$101.88,"$105,538.49",$104.39,$75.38,"$28,301.75",$27.99,$16.98
140179,2017,035,Crow Wing,MEDICARE,2,19 - 44 years,M,94,Other,881,381,"1,116","$50,182.04",$131.71,$62.58,"$39,065.41",$102.53,$48.96,"$11,116.63",$29.18,$10.05
140827,2017,039,Dodge,COMMERCIAL,5,75 years and older,F,34,Hospital Outpatient,705,109,401,"$21,570.74",$197.90,$115.84,"$21,570.74",$197.90,$115.84,$0.00,$0.00,$0.00
141643,2017,043,Faribault,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,46,Independent Lab,336,148,511,"$20,084.24",$135.70,$108.34,"$20,068.74",$135.60,$108.34,$15.50,$0.10,$0.00
142483,2017,047,Freeborn,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,19,Emergency department,127,50,213,"$6,641.91",$132.84,$50.79,"$6,241.91",$124.84,$50.79,$400.00,$8.00,$0.00
143515,2017,053,Hennepin,COMMERCIAL,5,75 years and older,M,151,Inpatient Non-acute Professional Services,"1,366","1,144","1,593","$68,020.66",$59.46,$22.72,"$59,774.58",$52.25,$16.79,"$8,246.08",$7.21,$0.00
144571,2017,059,Isanti,COMMERCIAL,2,19 - 44 years,M,40,DME (Durable Medical Equipment),295,143,456,"$52,089.30",$364.26,$111.92,"$35,185.71",$246.05,$80.25,"$16,903.59",$118.21,$11.34
145291,2017,061,Itasca,MEDICARE,4,65 - 74 years,M,659,Emergency department,"3,985","1,190","7,680","$251,006.30",$210.93,$158.04,"$223,278.51",$187.63,$125.93,"$27,727.79",$23.30,$1.68
146299,2017,067,Kandiyohi,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,59,Other,"5,586","3,922",681,"$1,054,577.47",$268.89,$102.72,"$1,049,985.57",$267.72,$102.72,"$4,591.90",$1.17,$0.00
147379,2017,073,Lac Qui Parle,MEDICARE,5,75 years and older,M,21,Ambulatory Surgery,146,27,246,"$31,268.91","$1,158.11",$965.79,"$27,353.55","$1,013.09",$857.32,"$3,915.36",$145.01,$102.76
148483,2017,081,Lincoln,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,12,Independent Lab,49,19,139,"$3,211.81",$169.04,$53.36,"$3,211.81",$169.04,$53.36,$0.00,$0.00,$0.00
